	beta	time	lags	sequences	reward	move_iti
0	B5	4.3	4.3	B	5	3.6
1	A5	13.1	5.2	A	5	3.6
2	A30	22.2	5.5	A	30	5.5
3	A30	33.6	5.9	A	30	3.5
4	A5	42.1	5.0	A	5	3.5
5	B30	50.8	5.2	B	30	3.9
6	B30	59.8	5.1	B	30	5.2
7	A10	72.0	7.0	A	10	3.9
8	B5	81.0	5.1	B	5	3.9
9	B5	90.1	5.2	B	5	3.6
10	B10	98.7	5.0	B	10	3.6
11	B30	107.6	5.3	B	30	3.5
12	A5	116.7	5.6	A	5	3.6
13	A10	125.3	5.0	A	10	3.6
14	B30	134.4	5.5	B	30	4.1
15	A30	146.2	7.7	A	30	4.3
16	B10	156.3	5.8	B	10	4.4
17	B10	165.9	5.2	B	10	3.5
18	B5	174.5	5.1	B	5	4.0
19	A5	183.9	5.4	A	5	4.0
20	A10	193.2	5.3	A	10	4.1
21	A30	202.3	5.0	A	30	4.9
22	B10	212.7	5.5	B	10	3.6
23	A10	222.7	6.4	A	10	3.5
24	B5	231.2	5.0	B	5	4.1
25	A5	240.6	5.3	A	5	4.3
26	B10	251.5	6.6	B	10	3.5
27	A30	260.0	5.0	A	30	3.8
28	A10	268.8	5.0	A	10	4.2
29	B30	278.2	5.2	B	30	3.5
30	A5	4.7	4.7	A	5	4.8
31	A5	15.0	5.5	A	5	3.7
32	B5	25.4	6.7	B	5	3.8
33	A30	34.3	5.1	A	30	3.6
34	A10	42.9	5.0	A	10	3.9
35	A30	52.7	5.9	A	30	4.7
36	B5	62.5	5.1	B	5	4.0
37	A5	71.8	5.3	A	5	4.7
38	B30	82.0	5.5	B	30	3.5
39	A30	90.6	5.1	A	30	3.6
40	B10	100.4	6.2	B	10	3.8
41	A10	111.4	7.2	A	10	4.5
42	B10	121.3	5.4	B	10	3.6
43	B5	130.0	5.1	B	5	3.5
44	A5	138.5	5.0	A	5	3.7
45	B10	147.3	5.1	B	10	3.9
46	B5	157.3	6.1	B	5	3.9
47	A5	166.4	5.2	A	5	3.9
48	B30	175.4	5.1	B	30	3.6
49	A30	184.5	5.5	A	30	4.3
50	B10	193.9	5.1	B	10	3.6
51	A10	203.0	5.5	A	10	3.5
52	B30	211.7	5.2	B	30	4.0
