	sequences	time	lags	move_iti
0	A	4.0	4.0	3.1
1	random	11.6	4.5	3.4
2	A	19.7	4.7	3.1
3	A	27.9	5.1	3.1
4	A	35.9	4.9	3.0
5	random	44.0	5.1	3.1
6	A	52.0	4.9	3.5
7	A	60.6	5.1	3.4
8	A	68.7	4.7	3.2
9	A	77.1	5.2	3.2
10	random	85.1	4.8	3.2
11	A	92.8	4.5	3.0
12	A	100.5	4.7	3.0
13	A	108.0	4.5	3.0
14	random	115.8	4.8	3.1
15	B	123.4	4.5	3.7
16	A	133.0	5.9	3.8
17	A	141.6	4.8	3.0
18	B	150.2	5.6	3.9
19	A	158.7	4.6	3.4
20	A	166.8	4.7	3.2
21	B	174.7	4.7	3.1
22	A	182.4	4.6	3.4
23	A	190.3	4.5	3.3
24	A	198.3	4.7	3.4
25	B	206.4	4.7	3.1
26	A	214.4	4.9	3.0
27	random	221.9	4.5	3.4
28	A	229.9	4.6	3.2
29	A	237.8	4.7	3.2
30	A	245.5	4.5	3.0
31	A	254.1	5.6	3.2
32	A	261.8	4.5	3.1
33	A	269.4	4.5	4.0
34	B	279.0	5.6	3.8
35	B	4.5	4.5	3.4
36	A	12.4	4.5	3.0
37	A	20.0	4.6	3.1
38	A	27.7	4.6	3.0
39	A	35.4	4.7	3.2
40	A	43.5	4.9	3.1
41	A	51.1	4.5	3.0
42	A	59.0	4.9	3.2
43	B	66.7	4.5	3.0
44	random	74.4	4.7	3.7
45	A	83.0	4.9	3.9
46	A	91.7	4.8	3.0
47	random	99.4	4.7	3.9
48	A	107.9	4.6	3.5
49	A	115.9	4.5	3.8
50	B	125.0	5.3	4.3
51	A	133.8	4.5	3.0
52	random	141.6	4.8	3.8
53	B	150.6	5.2	3.4
54	A	158.8	4.8	3.2
55	A	167.0	5.0	3.1
56	A	174.7	4.6	3.1
57	A	183.0	5.2	3.0
58	A	190.7	4.7	3.0
59	A	198.4	4.7	3.4
60	B	207.5	5.7	3.4
61	A	215.4	4.5	3.1
62	random	223.3	4.8	3.0
63	A	230.8	4.5	4.6
64	A	240.0	4.6	3.2
65	A	247.7	4.5	3.0
66	random	256.2	5.5	3.0
67	A	263.7	4.5	3.0
68	A	271.3	4.6	3.6
69	A	279.9	5.0	3.5
70	random	4.0	4.0	3.9
71	A	12.7	4.8	3.0
72	A	20.2	4.5	3.1
73	A	28.1	4.8	4.0
74	A	37.1	5.0	3.2
75	A	45.7	5.4	3.1
76	A	54.0	5.2	3.0
77	random	61.6	4.6	3.5
78	A	69.7	4.6	3.1
79	A	77.7	4.9	3.3
80	A	85.7	4.7	3.2
81	B	93.9	5.0	3.0
82	random	101.4	4.5	3.5
83	A	109.7	4.8	3.0
84	A	117.4	4.7	3.8
85	A	126.0	4.8	3.1
86	A	134.0	4.9	3.6
87	B	143.2	5.6	4.2
88	A	152.2	4.8	3.1
89	A	160.4	5.1	3.9
90	A	168.9	4.6	3.2
91	random	176.8	4.7	3.0
92	A	185.6	5.8	3.1
93	A	193.3	4.6	3.6
94	A	201.6	4.7	3.4
95	A	209.6	4.6	3.0
96	A	217.2	4.6	3.7
97	random	225.4	4.5	3.3
98	B	233.2	4.5	3.1
99	A	241.0	4.7	3.0
100	A	248.5	4.5	3.1
101	B	256.1	4.5	3.0
102	A	263.7	4.6	3.0
103	B	271.4	4.7	3.0
104	A	280.1	5.7	3.3
105	random	4.1	4.1	4.0
106	A	12.9	4.8	4.0
107	B	21.4	4.5	3.1
108	A	29.0	4.5	3.4
109	A	37.1	4.7	3.2
110	random	44.8	4.5	3.5
111	A	52.9	4.6	3.1
112	A	60.8	4.8	3.0
113	random	68.7	4.9	3.0
114	A	76.3	4.6	3.0
115	A	84.1	4.8	3.0
116	B	92.1	5.0	4.6
117	A	101.7	5.0	3.4
118	A	110.0	4.9	4.3
119	A	118.9	4.6	3.1
120	random	126.5	4.5	3.6
121	A	134.9	4.8	3.1
122	A	143.7	5.7	4.0
123	B	152.2	4.5	3.6
124	A	160.4	4.6	3.9
125	A	168.8	4.5	3.8
126	A	177.9	5.3	3.3
127	A	185.8	4.6	3.1
128	A	193.4	4.5	3.3
129	A	201.2	4.5	3.0
130	B	208.7	4.5	4.2
131	A	217.4	4.5	3.7
132	random	225.8	4.7	3.6
133	A	234.1	4.7	3.1
134	A	241.8	4.6	3.0
135	A	249.4	4.6	3.0
136	A	256.9	4.5	3.0
137	A	264.4	4.5	3.3
138	B	272.4	4.7	3.4
139	A	280.3	4.5	3.0
140	A	4.2	4.2	3.0
141	random	12.2	5.0	3.1
142	A	19.8	4.5	4.1
143	B	28.5	4.6	4.1
144	A	37.1	4.5	3.0
145	A	45.2	5.1	3.3
146	A	53.0	4.5	3.2
147	A	60.9	4.7	3.5
148	A	69.2	4.8	3.9
149	A	77.8	4.7	3.0
150	B	85.9	5.1	3.2
151	A	94.2	5.1	3.5
152	A	102.2	4.5	3.0
153	B	109.8	4.6	3.3
154	A	117.6	4.5	3.1
155	A	125.2	4.5	3.7
156	A	133.5	4.6	3.1
157	random	141.5	4.9	3.5
158	B	149.5	4.5	3.1
159	A	157.2	4.6	3.4
160	A	165.1	4.5	3.0
161	random	172.9	4.8	3.5
162	A	181.3	4.9	3.6
163	A	190.0	5.1	3.4
164	A	197.9	4.5	3.3
165	A	205.8	4.6	3.7
166	A	214.0	4.5	3.0
167	random	222.0	5.0	3.7
168	B	230.6	4.9	3.3
169	A	239.6	5.7	3.2
170	random	247.5	4.7	3.7
171	A	256.0	4.8	3.0
172	A	263.8	4.8	3.1
173	A	271.7	4.8	3.6
174	A	280.5	5.2	3.0
175	A	4.1	4.1	3.1
176	B	11.8	4.6	3.0
177	A	19.9	5.1	4.6
178	random	29.1	4.6	3.1
179	A	36.8	4.6	3.5
180	A	45.1	4.8	3.2
181	B	53.1	4.8	3.9
182	A	61.7	4.7	3.2
183	A	70.8	5.9	3.6
184	random	79.3	4.9	3.4
185	A	88.0	5.3	3.0
186	B	95.6	4.6	3.1
187	A	104.1	5.4	3.0
188	A	111.7	4.6	3.1
189	A	119.3	4.5	3.0
190	A	126.9	4.6	3.9
191	A	135.5	4.7	3.0
192	A	143.0	4.5	3.2
193	A	150.9	4.7	3.0
194	A	158.4	4.5	3.2
195	A	166.1	4.5	3.0
196	B	173.6	4.5	3.0
197	A	181.2	4.6	3.0
198	A	188.7	4.5	3.7
199	A	197.1	4.7	3.6
200	B	205.3	4.6	3.0
201	A	213.0	4.7	3.0
202	A	220.6	4.6	5.4
203	random	230.9	4.9	3.1
204	random	238.7	4.7	3.7
205	A	247.0	4.6	3.2
206	A	254.9	4.7	3.4
207	random	263.7	5.4	3.2
208	A	271.4	4.5	3.0
209	A	278.9	4.5	3.7
